x_mm,y_mm,z_mm
620.000,217.586,450.174
620.000,208.535,454.437
620.000,199.400,458.519
620.000,190.186,462.417
620.000,180.895,466.130
620.000,171.532,469.656
620.000,162.101,472.994
620.000,152.604,476.143
620.000,143.047,479.101
620.000,133.432,481.867
620.000,123.763,484.441
620.000,114.046,486.820
620.000,104.282,489.004
620.000,94.477,490.993
620.000,84.634,492.785
620.000,74.757,494.380
620.000,64.850,495.777
620.000,54.917,496.975
620.000,44.962,497.974
620.000,34.989,498.774
620.000,25.002,499.374
620.000,15.005,499.775
620.000,5.002,499.975
620.000,-5.002,499.975
620.000,-15.005,499.775
620.000,-25.002,499.374
620.000,-34.989,498.774
620.000,-44.962,497.974
620.000,-54.917,496.975
620.000,-64.850,495.777
620.000,-74.757,494.380
620.000,-84.634,492.785
620.000,-94.477,490.993
620.000,-104.282,489.004
620.000,-114.046,486.820
620.000,-123.763,484.441
620.000,-133.432,481.867
620.000,-143.047,479.101
620.000,-152.604,476.143
620.000,-162.101,472.994
620.000,-171.532,469.656
620.000,-180.895,466.130
620.000,-190.186,462.417
620.000,-199.400,458.519
620.000,-208.535,454.437
620.000,-217.586,450.174
620.000,-226.549,445.730
620.000,-235.423,441.108
620.000,-244.201,436.309
620.000,-252.883,431.336
620.000,-261.463,426.189
620.000,-269.938,420.872
620.000,-278.305,415.387
620.000,-286.561,409.735
620.000,-294.701,403.920
620.000,-302.724,397.942
620.000,-310.626,391.805
620.000,-318.404,385.512
620.000,-326.053,379.064
620.000,-333.573,372.464
620.000,-340.959,365.715
620.000,-348.208,358.819
620.000,-355.318,351.780
620.000,-362.285,344.600
620.000,-369.108,337.283
620.000,-375.782,329.830
620.000,-382.307,322.245
620.000,-388.678,314.531
620.000,-394.893,306.691
620.000,-400.951,298.728
620.000,-406.848,290.646
620.000,-412.582,282.447
620.000,-418.151,274.135
620.000,-423.552,265.713
620.000,-428.784,257.185
620.000,-433.844,248.555
620.000,-438.730,239.824
620.000,-443.441,230.998
620.000,-447.974,222.079
620.000,-452.328,213.071
620.000,-456.501,203.977
620.000,-460.491,194.803
620.000,-464.297,185.550
620.000,-467.916,176.223
620.000,-471.349,166.825
620.000,-474.592,157.360
620.000,-477.646,147.833
620.000,-480.508,138.246
620.000,-483.178,128.604
620.000,-485.655,118.910
620.000,-487.937,109.169
620.000,-490.023,99.384
620.000,-491.914,89.560
620.000,-493.607,79.699
620.000,-495.103,69.807
620.000,-496.401,59.886
620.000,-497.500,49.942
620.000,-498.399,39.978
620.000,-499.099,29.997
620.000,-499.600,20.005
620.000,-499.900,10.004
620.000,-500.000,0.000
630.000,500.000,0.000
630.000,499.900,10.004
630.000,499.600,20.005
630.000,499.099,29.997
630.000,498.399,39.978
630.000,497.500,49.942
630.000,496.401,59.886
630.000,495.103,69.807
630.000,493.607,79.699
630.000,491.914,89.560
630.000,490.023,99.384
630.000,487.937,109.169
630.000,485.655,118.910
630.000,483.178,128.604
630.000,480.508,138.246
630.000,477.646,147.833
630.000,474.592,157.360
630.000,471.349,166.825
630.000,467.916,176.223
630.000,464.297,185.550
630.000,460.491,194.803
630.000,456.501,203.977
630.000,452.328,213.071
630.000,447.974,222.079
630.000,443.441,230.998
630.000,438.730,239.824
630.000,433.844,248.555
630.000,428.784,257.185
630.000,423.552,265.713
630.000,418.151,274.135
630.000,412.582,282.447
630.000,406.848,290.646
630.000,400.951,298.728
630.000,394.893,306.691
630.000,388.678,314.531
630.000,382.307,322.245
630.000,375.782,329.830
630.000,369.108,337.283
630.000,362.285,344.600
630.000,355.318,351.780
630.000,348.208,358.819
630.000,340.959,365.715
630.000,333.573,372.464
630.000,326.053,379.064
630.000,318.404,385.512
630.000,310.626,391.805
630.000,302.724,397.942
630.000,294.701,403.920
630.000,286.561,409.735
630.000,278.305,415.387
630.000,269.938,420.872
630.000,261.463,426.189
630.000,252.883,431.336
630.000,244.201,436.309
630.000,235.423,441.108
630.000,226.549,445.730
630.000,217.586,450.174
630.000,208.535,454.437
630.000,199.400,458.519
630.000,190.186,462.417
630.000,180.895,466.130
630.000,171.532,469.656
630.000,162.101,472.994
630.000,152.604,476.143
630.000,143.047,479.101
630.000,133.432,481.867
630.000,123.763,484.441
630.000,114.046,486.820
630.000,104.282,489.004
630.000,94.477,490.993
630.000,84.634,492.785
630.000,74.757,494.380
630.000,64.850,495.777
630.000,54.917,496.975
630.000,44.962,497.974
630.000,34.989,498.774
630.000,25.002,499.374
630.000,15.005,499.775
630.000,5.002,499.975
630.000,-5.002,499.975
630.000,-15.005,499.775
630.000,-25.002,499.374
630.000,-34.989,498.774
630.000,-44.962,497.974
630.000,-54.917,496.975
630.000,-64.850,495.777
630.000,-74.757,494.380
630.000,-84.634,492.785
630.000,-94.477,490.993
630.000,-104.282,489.004
630.000,-114.046,486.820
630.000,-123.763,484.441
630.000,-133.432,481.867
630.000,-143.047,479.101
630.000,-152.604,476.143
630.000,-162.101,472.994
630.000,-171.532,469.656
630.000,-180.895,466.130
630.000,-190.186,462.417
630.000,-199.400,458.519
630.000,-208.535,454.437
630.000,-217.586,450.174
630.000,-226.549,445.730
630.000,-235.423,441.108
630.000,-244.201,436.309
630.000,-252.883,431.336
630.000,-261.463,426.189
630.000,-269.938,420.872
630.000,-278.305,415.387
630.000,-286.561,409.735
630.000,-294.701,403.920
630.000,-302.724,397.942
630.000,-310.626,391.805
630.000,-318.404,385.512
630.000,-326.053,379.064
630.000,-333.573,372.464
630.000,-340.959,365.715
630.000,-348.208,358.819
630.000,-355.318,351.780
630.000,-362.285,344.600
630.000,-369.108,337.283
630.000,-375.782,329.830
630.000,-382.307,322.245
630.000,-388.678,314.531
630.000,-394.893,306.691
630.000,-400.951,298.728
630.000,-406.848,290.646
630.000,-412.582,282.447
630.000,-418.151,274.135
630.000,-423.552,265.713
630.000,-428.784,257.185
630.000,-433.844,248.555
630.000,-438.730,239.824
630.000,-443.441,230.998
630.000,-447.974,222.079
630.000,-452.328,213.071
630.000,-456.501,203.977
630.000,-460.491,194.803
630.000,-464.297,185.550
630.000,-467.916,176.223
630.000,-471.349,166.825
630.000,-474.592,157.360
630.000,-477.646,147.833
630.000,-480.508,138.246
630.000,-483.178,128.604
630.000,-485.655,118.910
630.000,-487.937,109.169
630.000,-490.023,99.384
630.000,-491.914,89.560
630.000,-493.607,79.699
630.000,-495.103,69.807
630.000,-496.401,59.886
630.000,-497.500,49.942
630.000,-498.399,39.978
630.000,-499.099,29.997
630.000,-499.600,20.005
630.000,-499.900,10.004
630.000,-500.000,0.000
640.000,500.000,0.000
640.000,499.900,10.004
640.000,499.600,20.005
640.000,499.099,29.997
640.000,498.399,39.978
640.000,497.500,49.942
640.000,496.401,59.886
640.000,495.103,69.807
640.000,493.607,79.699
640.000,491.914,89.560
640.000,490.023,99.384
640.000,487.937,109.169
640.000,485.655,118.910
640.000,483.178,128.604
640.000,480.508,138.246
640.000,477.646,147.833
640.000,474.592,157.360
640.000,471.349,166.825
640.000,467.916,176.223
640.000,464.297,185.550
640.000,460.491,194.803
640.000,456.501,203.977
640.000,452.328,213.071
640.000,447.974,222.079
640.000,443.441,230.998
640.000,438.730,239.824
640.000,433.844,248.555
640.000,428.784,257.185
640.000,423.552,265.713
640.000,418.151,274.135
640.000,412.582,282.447
640.000,406.848,290.646
640.000,400.951,298.728
640.000,394.893,306.691
640.000,388.678,314.531
640.000,382.307,322.245
640.000,375.782,329.830
640.000,369.108,337.283
640.000,362.285,344.600
640.000,355.318,351.780
640.000,348.208,358.819
640.000,340.959,365.715
640.000,333.573,372.464
640.000,326.053,379.064
640.000,318.404,385.512
640.000,310.626,391.805
640.000,302.724,397.942
640.000,294.701,403.920
640.000,286.561,409.735
640.000,278.305,415.387
640.000,269.938,420.872
640.000,261.463,426.189
640.000,252.883,431.336
640.000,244.201,436.309
640.000,235.423,441.108
640.000,226.549,445.730
640.000,217.586,450.174
640.000,208.535,454.437
640.000,199.400,458.519
640.000,190.186,462.417
640.000,180.895,466.130
640.000,171.532,469.656
640.000,162.101,472.994
640.000,152.604,476.143
640.000,143.047,479.101
640.000,133.432,481.867
640.000,123.763,484.441
640.000,114.046,486.820
640.000,104.282,489.004
640.000,94.477,490.993
640.000,84.634,492.785
640.000,74.757,494.380
640.000,64.850,495.777
640.000,54.917,496.975
640.000,44.962,497.974
640.000,34.989,498.774
640.000,25.002,499.374
640.000,15.005,499.775
640.000,5.002,499.975
640.000,-5.002,499.975
640.000,-15.005,499.775
640.000,-25.002,499.374
640.000,-34.989,498.774
640.000,-44.962,497.974
640.000,-54.917,496.975
640.000,-64.850,495.777
640.000,-74.757,494.380
640.000,-84.634,492.785
640.000,-94.477,490.993
640.000,-104.282,489.004
640.000,-114.046,486.820
640.000,-123.763,484.441
640.000,-133.432,481.867
640.000,-143.047,479.101
640.000,-152.604,476.143
640.000,-162.101,472.994
640.000,-171.532,469.656
640.000,-180.895,466.130
640.000,-190.186,462.417
640.000,-199.400,458.519
640.000,-208.535,454.437
640.000,-217.586,450.174
640.000,-226.549,445.730
640.000,-235.423,441.108
640.000,-244.201,436.309
640.000,-252.883,431.336
640.000,-261.463,426.189
640.000,-269.938,420.872
640.000,-278.305,415.387
640.000,-286.561,409.735
640.000,-294.701,403.920
640.000,-302.724,397.942
640.000,-310.626,391.805
640.000,-318.404,385.512
640.000,-326.053,379.064
640.000,-333.573,372.464
640.000,-340.959,365.715
640.000,-348.208,358.819
640.000,-355.318,351.780
640.000,-362.285,344.600
640.000,-369.108,337.283
640.000,-375.782,329.830
640.000,-382.307,322.245
640.000,-388.678,314.531
640.000,-394.893,306.691
640.000,-400.951,298.728
640.000,-406.848,290.646
640.000,-412.582,282.447
640.000,-418.151,274.135
640.000,-423.552,265.713
640.000,-428.784,257.185
640.000,-433.844,248.555
640.000,-438.730,239.824
640.000,-443.441,230.998
640.000,-447.974,222.079
640.000,-452.328,213.071
640.000,-456.501,203.977
640.000,-460.491,194.803
640.000,-464.297,185.550
640.000,-467.916,176.223
640.000,-471.349,166.825
640.000,-474.592,157.360
640.000,-477.646,147.833
640.000,-480.508,138.246
640.000,-483.178,128.604
640.000,-485.655,118.910
640.000,-487.937,109.169
640.000,-490.023,99.384
640.000,-491.914,89.560
640.000,-493.607,79.699
640.000,-495.103,69.807
640.000,-496.401,59.886
640.000,-497.500,49.942
640.000,-498.399,39.978
640.000,-499.099,29.997
640.000,-499.600,20.005
640.000,-499.900,10.004
640.000,-500.000,0.000
650.000,500.000,0.000
650.000,499.900,10.004
650.000,499.600,20.005
650.000,499.099,29.997
650.000,498.399,39.978
650.000,497.500,49.942
650.000,496.401,59.886
650.000,495.103,69.807
650.000,493.607,79.699
650.000,491.914,89.560
650.000,490.023,99.384
650.000,487.937,109.169
650.000,485.655,118.910
650.000,483.178,128.604
650.000,480.508,138.246
650.000,477.646,147.833
650.000,474.592,157.360
650.000,471.349,166.825
650.000,467.916,176.223
650.000,464.297,185.550
650.000,460.491,194.803
650.000,456.501,203.977
650.000,452.328,213.071
650.000,447.974,222.079
650.000,443.441,230.998
650.000,438.730,239.824
650.000,433.844,248.555
650.000,428.784,257.185
650.000,423.552,265.713
650.000,418.151,274.135
650.000,412.582,282.447
650.000,406.848,290.646
650.000,400.951,298.728
650.000,394.893,306.691
650.000,388.678,314.531
650.000,382.307,322.245
650.000,375.782,329.830
650.000,369.108,337.283
650.000,362.285,344.600
650.000,355.318,351.780
650.000,348.208,358.819
650.000,340.959,365.715
650.000,333.573,372.464
650.000,326.053,379.064
650.000,318.404,385.512
650.000,310.626,391.805
650.000,302.724,397.942
650.000,294.701,403.920
650.000,286.561,409.735
650.000,278.305,415.387
650.000,269.938,420.872
650.000,261.463,426.189
650.000,252.883,431.336
650.000,244.201,436.309
650.000,235.423,441.108
650.000,226.549,445.730
650.000,217.586,450.174
650.000,208.535,454.437
650.000,199.400,458.519
650.000,190.186,462.417
650.000,180.895,466.130
650.000,171.532,469.656
650.000,162.101,472.994
650.000,152.604,476.143
650.000,143.047,479.101
650.000,133.432,481.867
650.000,123.763,484.441
650.000,114.046,486.820
650.000,104.282,489.004
650.000,94.477,490.993
650.000,84.634,492.785
650.000,74.757,494.380
650.000,64.850,495.777
650.000,54.917,496.975
650.000,44.962,497.974
650.000,34.989,498.774
650.000,25.002,499.374
650.000,15.005,499.775
650.000,5.002,499.975
650.000,-5.002,499.975
650.000,-15.005,499.775
650.000,-25.002,499.374
650.000,-34.989,498.774
650.000,-44.962,497.974
650.000,-54.917,496.975
650.000,-64.850,495.777
650.000,-74.757,494.380
650.000,-84.634,492.785
650.000,-94.477,490.993
650.000,-104.282,489.004
650.000,-114.046,486.820
650.000,-123.763,484.441
650.000,-133.432,481.867
650.000,-143.047,479.101
650.000,-152.604,476.143
650.000,-162.101,472.994
650.000,-171.532,469.656
650.000,-180.895,466.130
650.000,-190.186,462.417
650.000,-199.400,458.519
650.000,-208.535,454.437
650.000,-217.586,450.174
650.000,-226.549,445.730
650.000,-235.423,441.108
650.000,-244.201,436.309
650.000,-252.883,431.336
650.000,-261.463,426.189
650.000,-269.938,420.872
650.000,-278.305,415.387
650.000,-286.561,409.735
650.000,-294.701,403.920
650.000,-302.724,397.942
650.000,-310.626,391.805
650.000,-318.404,385.512
650.000,-326.053,379.064
650.000,-333.573,372.464
650.000,-340.959,365.715
650.000,-348.208,358.819
650.000,-355.318,351.780
650.000,-362.285,344.600
650.000,-369.108,337.283
650.000,-375.782,329.830
650.000,-382.307,322.245
650.000,-388.678,314.531
650.000,-394.893,306.691
650.000,-400.951,298.728
650.000,-406.848,290.646
650.000,-412.582,282.447
650.000,-418.151,274.135
650.000,-423.552,265.713
650.000,-428.784,257.185
650.000,-433.844,248.555
650.000,-438.730,239.824
650.000,-443.441,230.998
650.000,-447.974,222.079
650.000,-452.328,213.071
650.000,-456.501,203.977
650.000,-460.491,194.803
650.000,-464.297,185.550
650.000,-467.916,176.223
650.000,-471.349,166.825
650.000,-474.592,157.360
650.000,-477.646,147.833
650.000,-480.508,138.246
650.000,-483.178,128.604
650.000,-485.655,118.910
650.000,-487.937,109.169
650.000,-490.023,99.384
650.000,-491.914,89.560
650.000,-493.607,79.699
650.000,-495.103,69.807
650.000,-496.401,59.886
650.000,-497.500,49.942
650.000,-498.399,39.978
650.000,-499.099,29.997
650.000,-499.600,20.005
650.000,-499.900,10.004
650.000,-500.000,0.000
660.000,500.000,0.000
660.000,499.900,10.004
660.000,499.600,20.005
660.000,499.099,29.997
660.000,498.399,39.978
660.000,497.500,49.942
660.000,496.401,59.886
660.000,495.103,69.807
660.000,493.607,79.699
660.000,491.914,89.560
660.000,490.023,99.384
660.000,487.937,109.169
660.000,485.655,118.910
660.000,483.178,128.604
660.000,480.508,138.246
660.000,477.646,147.833
660.000,474.592,157.360
660.000,471.349,166.825
660.000,467.916,176.223
660.000,464.297,185.550
660.000,460.491,194.803
660.000,456.501,203.977
660.000,452.328,213.071
660.000,447.974,222.079
660.000,443.441,230.998
660.000,438.730,239.824
660.000,433.844,248.555
660.000,428.784,257.185
660.000,423.552,265.713
660.000,418.151,274.135
660.000,412.582,282.447
660.000,406.848,290.646
660.000,400.951,298.728
660.000,394.893,306.691
660.000,388.678,314.531
660.000,382.307,322.245
660.000,375.782,329.830
660.000,369.108,337.283
660.000,362.285,344.600
660.000,355.318,351.780
660.000,348.208,358.819
660.000,340.959,365.715
660.000,333.573,372.464
660.000,326.053,379.064
660.000,318.404,385.512
660.000,310.626,391.805
660.000,302.724,397.942
660.000,294.701,403.920
660.000,286.561,409.735
660.000,278.305,415.387
660.000,269.938,420.872
660.000,261.463,426.189
660.000,252.883,431.336
660.000,244.201,436.309
660.000,235.423,441.108
660.000,226.549,445.730
660.000,217.586,450.174
660.000,208.535,454.437
660.000,199.400,458.519
660.000,190.186,462.417
660.000,180.895,466.130
660.000,171.532,469.656
660.000,162.101,472.994
660.000,152.604,476.143
660.000,143.047,479.101
660.000,133.432,481.867
660.000,123.763,484.441
660.000,114.046,486.820
660.000,104.282,489.004
660.000,94.477,490.993
660.000,84.634,492.785
660.000,74.757,494.380
660.000,64.850,495.777
660.000,54.917,496.975
660.000,44.962,497.974
660.000,34.989,498.774
660.000,25.002,499.374
660.000,15.005,499.775
660.000,5.002,499.975
660.000,-5.002,499.975
660.000,-15.005,499.775
660.000,-25.002,499.374
660.000,-34.989,498.774
660.000,-44.962,497.974
660.000,-54.917,496.975
660.000,-64.850,495.777
660.000,-74.757,494.380
660.000,-84.634,492.785
660.000,-94.477,490.993
660.000,-104.282,489.004
660.000,-114.046,486.820
660.000,-123.763,484.441
660.000,-133.432,481.867
660.000,-143.047,479.101
660.000,-152.604,476.143
660.000,-162.101,472.994
660.000,-171.532,469.656
660.000,-180.895,466.130
660.000,-190.186,462.417
660.000,-199.400,458.519
660.000,-208.535,454.437
660.000,-217.586,450.174
660.000,-226.549,445.730
660.000,-235.423,441.108
660.000,-244.201,436.309
660.000,-252.883,431.336
660.000,-261.463,426.189
660.000,-269.938,420.872
660.000,-278.305,415.387
660.000,-286.561,409.735
660.000,-294.701,403.920
660.000,-302.724,397.942
660.000,-310.626,391.805
660.000,-318.404,385.512
660.000,-326.053,379.064
660.000,-333.573,372.464
660.000,-340.959,365.715
660.000,-348.208,358.819
660.000,-355.318,351.780
660.000,-362.285,344.600
660.000,-369.108,337.283
660.000,-375.782,329.830
660.000,-382.307,322.245
660.000,-388.678,314.531
660.000,-394.893,306.691
660.000,-400.951,298.728
660.000,-406.848,290.646
660.000,-412.582,282.447
660.000,-418.151,274.135
660.000,-423.552,265.713
660.000,-428.784,257.185
660.000,-433.844,248.555
660.000,-438.730,239.824
660.000,-443.441,230.998
660.000,-447.974,222.079
660.000,-452.328,213.071
660.000,-456.501,203.977
660.000,-460.491,194.803
660.000,-464.297,185.550
660.000,-467.916,176.223
660.000,-471.349,166.825
660.000,-474.592,157.360
660.000,-477.646,147.833
660.000,-480.508,138.246
660.000,-483.178,128.604
660.000,-485.655,118.910
660.000,-487.937,109.169
660.000,-490.023,99.384
660.000,-491.914,89.560
660.000,-493.607,79.699
660.000,-495.103,69.807
660.000,-496.401,59.886
660.000,-497.500,49.942
660.000,-498.399,39.978
660.000,-499.099,29.997
660.000,-499.600,20.005
660.000,-499.900,10.004
660.000,-500.000,0.000
670.000,500.000,0.000
670.000,499.900,10.004
670.000,499.600,20.005
670.000,499.099,29.997
670.000,498.399,39.978
670.000,497.500,49.942
670.000,496.401,59.886
670.000,495.103,69.807
670.000,493.607,79.699
670.000,491.914,89.560
670.000,490.023,99.384
670.000,487.937,109.169
670.000,485.655,118.910
670.000,483.178,128.604
670.000,480.508,138.246
670.000,477.646,147.833
670.000,474.592,157.360
670.000,471.349,166.825
670.000,467.916,176.223
670.000,464.297,185.550
670.000,460.491,194.803
670.000,456.501,203.977
670.000,452.328,213.071
670.000,447.974,222.079
670.000,443.441,230.998
670.000,438.730,239.824
670.000,433.844,248.555
670.000,428.784,257.185
670.000,423.552,265.713
670.000,418.151,274.135
670.000,412.582,282.447
670.000,406.848,290.646
670.000,400.951,298.728
670.000,394.893,306.691
670.000,388.678,314.531
670.000,382.307,322.245
670.000,375.782,329.830
670.000,369.108,337.283
670.000,362.285,344.600
670.000,355.318,351.780
670.000,348.208,358.819
670.000,340.959,365.715
670.000,333.573,372.464
670.000,326.053,379.064
670.000,318.404,385.512
670.000,310.626,391.805
670.000,302.724,397.942
670.000,294.701,403.920
670.000,286.561,409.735
670.000,278.305,415.387
670.000,269.938,420.872
670.000,261.463,426.189
670.000,252.883,431.336
670.000,244.201,436.309
670.000,235.423,441.108
670.000,226.549,445.730
670.000,217.586,450.174
670.000,208.535,454.437
670.000,199.400,458.519
670.000,190.186,462.417
670.000,180.895,466.130
670.000,171.532,469.656
670.000,162.101,472.994
670.000,152.604,476.143
670.000,143.047,479.101
670.000,133.432,481.867
670.000,123.763,484.441
670.000,114.046,486.820
670.000,104.282,489.004
670.000,94.477,490.993
670.000,84.634,492.785
670.000,74.757,494.380
670.000,64.850,495.777
670.000,54.917,496.975
670.000,44.962,497.974
670.000,34.989,498.774
670.000,25.002,499.374
670.000,15.005,499.775
670.000,5.002,499.975
670.000,-5.002,499.975
670.000,-15.005,499.775
670.000,-25.002,499.374
670.000,-34.989,498.774
670.000,-44.962,497.974
670.000,-54.917,496.975
670.000,-64.850,495.777
670.000,-74.757,494.380
670.000,-84.634,492.785
670.000,-94.477,490.993
670.000,-104.282,489.004
670.000,-114.046,486.820
670.000,-123.763,484.441
670.000,-133.432,481.867
670.000,-143.047,479.101
670.000,-152.604,476.143
670.000,-162.101,472.994
670.000,-171.532,469.656
670.000,-180.895,466.130
670.000,-190.186,462.417
670.000,-199.400,458.519
670.000,-208.535,454.437
670.000,-217.586,450.174
670.000,-226.549,445.730
670.000,-235.423,441.108
670.000,-244.201,436.309
670.000,-252.883,431.336
670.000,-261.463,426.189
670.000,-269.938,420.872
670.000,-278.305,415.387
670.000,-286.561,409.735
670.000,-294.701,403.920
670.000,-302.724,397.942
670.000,-310.626,391.805
670.000,-318.404,385.512
670.000,-326.053,379.064
670.000,-333.573,372.464
670.000,-340.959,365.715
670.000,-348.208,358.819
670.000,-355.318,351.780
670.000,-362.285,344.600
670.000,-369.108,337.283
670.000,-375.782,329.830
670.000,-382.307,322.245
670.000,-388.678,314.531
670.000,-394.893,306.691
670.000,-400.951,298.728
670.000,-406.848,290.646
670.000,-412.582,282.447
670.000,-418.151,274.135
670.000,-423.552,265.713
670.000,-428.784,257.185
670.000,-433.844,248.555
670.000,-438.730,239.824
670.000,-443.441,230.998
670.000,-447.974,222.079
670.000,-452.328,213.071
670.000,-456.501,203.977
670.000,-460.491,194.803
670.000,-464.297,185.550
670.000,-467.916,176.223
670.000,-471.349,166.825
670.000,-474.592,157.360
670.000,-477.646,147.833
670.000,-480.508,138.246
670.000,-483.178,128.604
670.000,-485.655,118.910
670.000,-487.937,109.169
670.000,-490.023,99.384
670.000,-491.914,89.560
670.000,-493.607,79.699
670.000,-495.103,69.807
670.000,-496.401,59.886
670.000,-497.500,49.942
670.000,-498.399,39.978
670.000,-499.099,29.997
670.000,-499.600,20.005
670.000,-499.900,10.004
670.000,-500.000,0.000
680.000,500.000,0.000
680.000,499.900,10.004
680.000,499.600,20.005
680.000,499.099,29.997
680.000,498.399,39.978
680.000,497.500,49.942
680.000,496.401,59.886
680.000,495.103,69.807
680.000,493.607,79.699
680.000,491.914,89.560
680.000,490.023,99.384
680.000,487.937,109.169
680.000,485.655,118.910
680.000,483.178,128.604
680.000,480.508,138.246
680.000,477.646,147.833
680.000,474.592,157.360
680.000,471.349,166.825
680.000,467.916,176.223
680.000,464.297,185.550
680.000,460.491,194.803
680.000,456.501,203.977
680.000,452.328,213.071
680.000,447.974,222.079
680.000,443.441,230.998
680.000,438.730,239.824
680.000,433.844,248.555
680.000,428.784,257.185
680.000,423.552,265.713
680.000,418.151,274.135
680.000,412.582,282.447
680.000,406.848,290.646
680.000,400.951,298.728
680.000,394.893,306.691
680.000,388.678,314.531
680.000,382.307,322.245
680.000,375.782,329.830
680.000,369.108,337.283
680.000,362.285,344.600
680.000,355.318,351.780
680.000,348.208,358.819
680.000,340.959,365.715
680.000,333.573,372.464
680.000,326.053,379.064
680.000,318.404,385.512
680.000,310.626,391.805
680.000,302.724,397.942
680.000,294.701,403.920
680.000,286.561,409.735
680.000,278.305,415.387
680.000,269.938,420.872
680.000,261.463,426.189
680.000,252.883,431.336
680.000,244.201,436.309
680.000,235.423,441.108
680.000,226.549,445.730
680.000,217.586,450.174
680.000,208.535,454.437
680.000,199.400,458.519
680.000,190.186,462.417
680.000,180.895,466.130
680.000,171.532,469.656
680.000,162.101,472.994
680.000,152.604,476.143
680.000,143.047,479.101
680.000,133.432,481.867
680.000,123.763,484.441
680.000,114.046,486.820
680.000,104.282,489.004
680.000,94.477,490.993
680.000,84.634,492.785
680.000,74.757,494.380
680.000,64.850,495.777
680.000,54.917,496.975
680.000,44.962,497.974
680.000,34.989,498.774
680.000,25.002,499.374
680.000,15.005,499.775
680.000,5.002,499.975
680.000,-5.002,499.975
680.000,-15.005,499.775
680.000,-25.002,499.374
680.000,-34.989,498.774
680.000,-44.962,497.974
680.000,-54.917,496.975
680.000,-64.850,495.777
680.000,-74.757,494.380
680.000,-84.634,492.785
680.000,-94.477,490.993
680.000,-104.282,489.004
680.000,-114.046,486.820
680.000,-123.763,484.441
680.000,-133.432,481.867
680.000,-143.047,479.101
680.000,-152.604,476.143
680.000,-162.101,472.994
680.000,-171.532,469.656
680.000,-180.895,466.130
680.000,-190.186,462.417
680.000,-199.400,458.519
680.000,-208.535,454.437
680.000,-217.586,450.174
680.000,-226.549,445.730
680.000,-235.423,441.108
680.000,-244.201,436.309
680.000,-252.883,431.336
680.000,-261.463,426.189
680.000,-269.938,420.872
680.000,-278.305,415.387
680.000,-286.561,409.735
680.000,-294.701,403.920
680.000,-302.724,397.942
680.000,-310.626,391.805
680.000,-318.404,385.512
680.000,-326.053,379.064
680.000,-333.573,372.464
680.000,-340.959,365.715
680.000,-348.208,358.819
680.000,-355.318,351.780
680.000,-362.285,344.600
680.000,-369.108,337.283
680.000,-375.782,329.830
680.000,-382.307,322.245
680.000,-388.678,314.531
680.000,-394.893,306.691
680.000,-400.951,298.728
680.000,-406.848,290.646
680.000,-412.582,282.447
680.000,-418.151,274.135
680.000,-423.552,265.713
680.000,-428.784,257.185
680.000,-433.844,248.555
680.000,-438.730,239.824
680.000,-443.441,230.998
680.000,-447.974,222.079
680.000,-452.328,213.071
680.000,-456.501,203.977
680.000,-460.491,194.803
680.000,-464.297,185.550
680.000,-467.916,176.223
680.000,-471.349,166.825
680.000,-474.592,157.360
680.000,-477.646,147.833
680.000,-480.508,138.246
680.000,-483.178,128.604
680.000,-485.655,118.910
680.000,-487.937,109.169
680.000,-490.023,99.384
680.000,-491.914,89.560
680.000,-493.607,79.699
680.000,-495.103,69.807
680.000,-496.401,59.886
680.000,-497.500,49.942
680.000,-498.399,39.978
680.000,-499.099,29.997
680.000,-499.600,20.005
680.000,-499.900,10.004
680.000,-500.000,0.000
690.000,500.000,0.000
690.000,499.900,10.004
690.000,499.600,20.005
690.000,499.099,29.997
690.000,498.399,39.978
690.000,497.500,49.942
690.000,496.401,59.886
690.000,495.103,69.807
690.000,493.607,79.699
690.000,491.914,89.560
690.000,490.023,99.384
690.000,487.937,109.169
690.000,485.655,118.910
690.000,483.178,128.604
690.000,480.508,138.246
690.000,477.646,147.833
690.000,474.592,157.360
690.000,471.349,166.825
690.000,467.916,176.223
690.000,464.297,185.550
690.000,460.491,194.803
690.000,456.501,203.977
690.000,452.328,213.071
690.000,447.974,222.079
690.000,443.441,230.998
690.000,438.730,239.824
690.000,433.844,248.555
690.000,428.784,257.185
690.000,423.552,265.713
690.000,418.151,274.135
690.000,412.582,282.447
690.000,406.848,290.646
690.000,400.951,298.728
690.000,394.893,306.691
690.000,388.678,314.531
690.000,382.307,322.245
690.000,375.782,329.830
690.000,369.108,337.283
690.000,362.285,344.600
690.000,355.318,351.780
690.000,348.208,358.819
690.000,340.959,365.715
690.000,333.573,372.464
690.000,326.053,379.064
690.000,318.404,385.512
690.000,310.626,391.805
690.000,302.724,397.942
690.000,294.701,403.920
690.000,286.561,409.735
690.000,278.305,415.387
690.000,269.938,420.872
690.000,261.463,426.189
690.000,252.883,431.336
690.000,244.201,436.309
690.000,235.423,441.108
690.000,226.549,445.730
690.000,217.586,450.174
690.000,208.535,454.437
690.000,199.400,458.519
690.000,190.186,462.417
690.000,180.895,466.130
690.000,171.532,469.656
690.000,162.101,472.994
690.000,152.604,476.143
690.000,143.047,479.101
690.000,133.432,481.867
690.000,123.763,484.441
690.000,114.046,486.820
690.000,104.282,489.004
